original_image,mask_image,data_split
./data_Image/Images/bus_0040-s.png,./data_Image/Mask/bus_0040-s.png,Train
./data_Image/Images/bus_0041-l.png,./data_Image/Mask/bus_0041-l.png,Validation
./data_Image/Images/bus_0041-r.png,./data_Image/Mask/bus_0041-r.png,Train
./data_Image/Images/bus_0042-l.png,./data_Image/Mask/bus_0042-l.png,Validation
./data_Image/Images/bus_0042-r.png,./data_Image/Mask/bus_0042-r.png,Validation
./data_Image/Images/bus_0043-s.png,./data_Image/Mask/bus_0043-s.png,Validation
./data_Image/Images/bus_0044-l.png,./data_Image/Mask/bus_0044-l.png,Train
./data_Image/Images/bus_0044-r.png,./data_Image/Mask/bus_0044-r.png,Train
./data_Image/Images/bus_0045-l.png,./data_Image/Mask/bus_0045-l.png,Test
./data_Image/Images/bus_0045-r.png,./data_Image/Mask/bus_0045-r.png,Validation
./data_Image/Images/bus_0046-l.png,./data_Image/Mask/bus_0046-l.png,Test
./data_Image/Images/bus_0046-r.png,./data_Image/Mask/bus_0046-r.png,Train
./data_Image/Images/bus_0047-l.png,./data_Image/Mask/bus_0047-l.png,Test
./data_Image/Images/bus_0047-r.png,./data_Image/Mask/bus_0047-r.png,Train
./data_Image/Images/bus_0048-l.png,./data_Image/Mask/bus_0048-l.png,Train
./data_Image/Images/bus_0048-r.png,./data_Image/Mask/bus_0048-r.png,Train
./data_Image/Images/bus_0049-l.png,./data_Image/Mask/bus_0049-l.png,Train
./data_Image/Images/bus_0049-r.png,./data_Image/Mask/bus_0049-r.png,Train
./data_Image/Images/bus_0050-l.png,./data_Image/Mask/bus_0050-l.png,Train
./data_Image/Images/bus_0050-r.png,./data_Image/Mask/bus_0050-r.png,Train
./data_Image/Images/bus_0051-l.png,./data_Image/Mask/bus_0051-l.png,Train
./data_Image/Images/bus_0051-r.png,./data_Image/Mask/bus_0051-r.png,Test
./data_Image/Images/bus_0052-l.png,./data_Image/Mask/bus_0052-l.png,Train
./data_Image/Images/bus_0052-r.png,./data_Image/Mask/bus_0052-r.png,Train
./data_Image/Images/bus_0053-l.png,./data_Image/Mask/bus_0053-l.png,Train
./data_Image/Images/bus_0053-r.png,./data_Image/Mask/bus_0053-r.png,Test
./data_Image/Images/bus_0054-s.png,./data_Image/Mask/bus_0054-s.png,Train
./data_Image/Images/bus_0055-l.png,./data_Image/Mask/bus_0055-l.png,Validation
./data_Image/Images/bus_0055-r.png,./data_Image/Mask/bus_0055-r.png,Train
./data_Image/Images/bus_0056-l.png,./data_Image/Mask/bus_0056-l.png,Train
./data_Image/Images/bus_0056-r.png,./data_Image/Mask/bus_0056-r.png,Train
./data_Image/Images/bus_0057-l.png,./data_Image/Mask/bus_0057-l.png,Train
./data_Image/Images/bus_0057-r.png,./data_Image/Mask/bus_0057-r.png,Train
./data_Image/Images/bus_0058-l.png,./data_Image/Mask/bus_0058-l.png,Train
./data_Image/Images/bus_0058-r.png,./data_Image/Mask/bus_0058-r.png,Test
./data_Image/Images/bus_0059-l.png,./data_Image/Mask/bus_0059-l.png,Validation
./data_Image/Images/bus_0059-r.png,./data_Image/Mask/bus_0059-r.png,Train
./data_Image/Images/bus_0060-l.png,./data_Image/Mask/bus_0060-l.png,Train
./data_Image/Images/bus_0060-r.png,./data_Image/Mask/bus_0060-r.png,Train
./data_Image/Images/bus_0061-l.png,./data_Image/Mask/bus_0061-l.png,Train
./data_Image/Images/bus_0061-r.png,./data_Image/Mask/bus_0061-r.png,Train
./data_Image/Images/bus_0062-l.png,./data_Image/Mask/bus_0062-l.png,Validation
./data_Image/Images/bus_0062-r.png,./data_Image/Mask/bus_0062-r.png,Test
./data_Image/Images/bus_0063-s.png,./data_Image/Mask/bus_0063-s.png,Train
./data_Image/Images/bus_0064-s.png,./data_Image/Mask/bus_0064-s.png,Validation
./data_Image/Images/bus_0065-l.png,./data_Image/Mask/bus_0065-l.png,Train
./data_Image/Images/bus_0065-r.png,./data_Image/Mask/bus_0065-r.png,Train
./data_Image/Images/bus_0066-l.png,./data_Image/Mask/bus_0066-l.png,Train
./data_Image/Images/bus_0066-r.png,./data_Image/Mask/bus_0066-r.png,Test
./data_Image/Images/bus_0067-l.png,./data_Image/Mask/bus_0067-l.png,Test
./data_Image/Images/bus_0067-r.png,./data_Image/Mask/bus_0067-r.png,Validation
./data_Image/Images/bus_0068-l.png,./data_Image/Mask/bus_0068-l.png,Train
./data_Image/Images/bus_0068-r.png,./data_Image/Mask/bus_0068-r.png,Train
./data_Image/Images/bus_0069-l.png,./data_Image/Mask/bus_0069-l.png,Train
./data_Image/Images/bus_0069-r.png,./data_Image/Mask/bus_0069-r.png,Train
./data_Image/Images/bus_0070-l.png,./data_Image/Mask/bus_0070-l.png,Train
./data_Image/Images/bus_0070-r.png,./data_Image/Mask/bus_0070-r.png,Train
./data_Image/Images/bus_0071-l.png,./data_Image/Mask/bus_0071-l.png,Train
./data_Image/Images/bus_0071-r.png,./data_Image/Mask/bus_0071-r.png,Train
./data_Image/Images/bus_0072-l.png,./data_Image/Mask/bus_0072-l.png,Train
./data_Image/Images/bus_0072-r.png,./data_Image/Mask/bus_0072-r.png,Validation
./data_Image/Images/bus_0073-l.png,./data_Image/Mask/bus_0073-l.png,Train
./data_Image/Images/bus_0073-r.png,./data_Image/Mask/bus_0073-r.png,Train
./data_Image/Images/bus_0074-s.png,./data_Image/Mask/bus_0074-s.png,Train
./data_Image/Images/bus_0075-l.png,./data_Image/Mask/bus_0075-l.png,Train
./data_Image/Images/bus_0075-r.png,./data_Image/Mask/bus_0075-r.png,Train
./data_Image/Images/bus_0076-l.png,./data_Image/Mask/bus_0076-l.png,Train
./data_Image/Images/bus_0076-r.png,./data_Image/Mask/bus_0076-r.png,Train
./data_Image/Images/bus_0077-s.png,./data_Image/Mask/bus_0077-s.png,Validation
./data_Image/Images/bus_0078-s.png,./data_Image/Mask/bus_0078-s.png,Train
./data_Image/Images/bus_0079-l.png,./data_Image/Mask/bus_0079-l.png,Validation
./data_Image/Images/bus_0079-r.png,./data_Image/Mask/bus_0079-r.png,Train
./data_Image/Images/bus_0080-l.png,./data_Image/Mask/bus_0080-l.png,Validation
./data_Image/Images/bus_0080-r.png,./data_Image/Mask/bus_0080-r.png,Train
./data_Image/Images/bus_0081-s.png,./data_Image/Mask/bus_0081-s.png,Test
./data_Image/Images/bus_0082-s.png,./data_Image/Mask/bus_0082-s.png,Train
./data_Image/Images/bus_0083-l.png,./data_Image/Mask/bus_0083-l.png,Train
./data_Image/Images/bus_0083-r.png,./data_Image/Mask/bus_0083-r.png,Train
./data_Image/Images/bus_0084-l.png,./data_Image/Mask/bus_0084-l.png,Train
./data_Image/Images/bus_0084-r.png,./data_Image/Mask/bus_0084-r.png,Test
./data_Image/Images/bus_0085-l.png,./data_Image/Mask/bus_0085-l.png,Train
./data_Image/Images/bus_0085-r.png,./data_Image/Mask/bus_0085-r.png,Train
./data_Image/Images/bus_0086-l.png,./data_Image/Mask/bus_0086-l.png,Test
./data_Image/Images/bus_0086-r.png,./data_Image/Mask/bus_0086-r.png,Test
./data_Image/Images/bus_0087-l.png,./data_Image/Mask/bus_0087-l.png,Test
./data_Image/Images/bus_0087-r.png,./data_Image/Mask/bus_0087-r.png,Train
./data_Image/Images/bus_0088-s.png,./data_Image/Mask/bus_0088-s.png,Train
./data_Image/Images/bus_0089-s.png,./data_Image/Mask/bus_0089-s.png,Train
./data_Image/Images/bus_0090-l.png,./data_Image/Mask/bus_0090-l.png,Train
./data_Image/Images/bus_0090-r.png,./data_Image/Mask/bus_0090-r.png,Test
./data_Image/Images/bus_0091-l.png,./data_Image/Mask/bus_0091-l.png,Train
./data_Image/Images/bus_0091-r.png,./data_Image/Mask/bus_0091-r.png,Validation
./data_Image/Images/bus_0092-l.png,./data_Image/Mask/bus_0092-l.png,Train
./data_Image/Images/bus_0092-r.png,./data_Image/Mask/bus_0092-r.png,Test
./data_Image/Images/bus_0093-s.png,./data_Image/Mask/bus_0093-s.png,Train
./data_Image/Images/bus_0094-l.png,./data_Image/Mask/bus_0094-l.png,Test
./data_Image/Images/bus_0094-r.png,./data_Image/Mask/bus_0094-r.png,Train
./data_Image/Images/bus_0095-s.png,./data_Image/Mask/bus_0095-s.png,Validation
./data_Image/Images/bus_0096-s.png,./data_Image/Mask/bus_0096-s.png,Train
./data_Image/Images/bus_0097-l.png,./data_Image/Mask/bus_0097-l.png,Train
./data_Image/Images/bus_0097-r.png,./data_Image/Mask/bus_0097-r.png,Train
./data_Image/Images/bus_0098-l.png,./data_Image/Mask/bus_0098-l.png,Train
./data_Image/Images/bus_0098-r.png,./data_Image/Mask/bus_0098-r.png,Validation
./data_Image/Images/bus_0099-l.png,./data_Image/Mask/bus_0099-l.png,Validation
./data_Image/Images/bus_0099-r.png,./data_Image/Mask/bus_0099-r.png,Train
./data_Image/Images/bus_0100-l.png,./data_Image/Mask/bus_0100-l.png,Train
./data_Image/Images/bus_0100-r.png,./data_Image/Mask/bus_0100-r.png,Validation
./data_Image/Images/bus_0101-l.png,./data_Image/Mask/bus_0101-l.png,Train
./data_Image/Images/bus_0101-r.png,./data_Image/Mask/bus_0101-r.png,Test
./data_Image/Images/bus_0102-l.png,./data_Image/Mask/bus_0102-l.png,Train
./data_Image/Images/bus_0102-r.png,./data_Image/Mask/bus_0102-r.png,Train
./data_Image/Images/bus_0103-s.png,./data_Image/Mask/bus_0103-s.png,Train
./data_Image/Images/bus_0104-s.png,./data_Image/Mask/bus_0104-s.png,Train
./data_Image/Images/bus_0105-l.png,./data_Image/Mask/bus_0105-l.png,Train
./data_Image/Images/bus_0105-r.png,./data_Image/Mask/bus_0105-r.png,Train
./data_Image/Images/bus_0106-l.png,./data_Image/Mask/bus_0106-l.png,Validation
./data_Image/Images/bus_0106-r.png,./data_Image/Mask/bus_0106-r.png,Test
./data_Image/Images/bus_0107-l.png,./data_Image/Mask/bus_0107-l.png,Train
./data_Image/Images/bus_0107-r.png,./data_Image/Mask/bus_0107-r.png,Validation
./data_Image/Images/bus_0108-l.png,./data_Image/Mask/bus_0108-l.png,Test
./data_Image/Images/bus_0108-r.png,./data_Image/Mask/bus_0108-r.png,Train
./data_Image/Images/bus_0109-s.png,./data_Image/Mask/bus_0109-s.png,Train
./data_Image/Images/bus_0110-l.png,./data_Image/Mask/bus_0110-l.png,Test
./data_Image/Images/bus_0110-r.png,./data_Image/Mask/bus_0110-r.png,Train
./data_Image/Images/bus_0111-l.png,./data_Image/Mask/bus_0111-l.png,Train
./data_Image/Images/bus_0111-r.png,./data_Image/Mask/bus_0111-r.png,Train
./data_Image/Images/bus_0112-l.png,./data_Image/Mask/bus_0112-l.png,Validation
./data_Image/Images/bus_0112-r.png,./data_Image/Mask/bus_0112-r.png,Test
./data_Image/Images/bus_0113-s.png,./data_Image/Mask/bus_0113-s.png,Train
./data_Image/Images/bus_0114-s.png,./data_Image/Mask/bus_0114-s.png,Test
./data_Image/Images/bus_0115-l.png,./data_Image/Mask/bus_0115-l.png,Test
./data_Image/Images/bus_0115-r.png,./data_Image/Mask/bus_0115-r.png,Train
./data_Image/Images/bus_0116-l.png,./data_Image/Mask/bus_0116-l.png,Test
./data_Image/Images/bus_0116-r.png,./data_Image/Mask/bus_0116-r.png,Train
./data_Image/Images/bus_0117-l.png,./data_Image/Mask/bus_0117-l.png,Validation
./data_Image/Images/bus_0117-r.png,./data_Image/Mask/bus_0117-r.png,Train
./data_Image/Images/bus_0118-l.png,./data_Image/Mask/bus_0118-l.png,Train
./data_Image/Images/bus_0118-r.png,./data_Image/Mask/bus_0118-r.png,Train
./data_Image/Images/bus_0119-l.png,./data_Image/Mask/bus_0119-l.png,Train
./data_Image/Images/bus_0119-r.png,./data_Image/Mask/bus_0119-r.png,Train
./data_Image/Images/bus_0120-l.png,./data_Image/Mask/bus_0120-l.png,Train
./data_Image/Images/bus_0120-r.png,./data_Image/Mask/bus_0120-r.png,Train
./data_Image/Images/bus_0121-s.png,./data_Image/Mask/bus_0121-s.png,Test
./data_Image/Images/bus_0122-s.png,./data_Image/Mask/bus_0122-s.png,Train
./data_Image/Images/bus_0123-l.png,./data_Image/Mask/bus_0123-l.png,Train
./data_Image/Images/bus_0123-r.png,./data_Image/Mask/bus_0123-r.png,Train
./data_Image/Images/bus_0124-l.png,./data_Image/Mask/bus_0124-l.png,Validation
./data_Image/Images/bus_0124-r.png,./data_Image/Mask/bus_0124-r.png,Validation
./data_Image/Images/bus_0125-l.png,./data_Image/Mask/bus_0125-l.png,Train
./data_Image/Images/bus_0125-r.png,./data_Image/Mask/bus_0125-r.png,Validation
./data_Image/Images/bus_0126-s.png,./data_Image/Mask/bus_0126-s.png,Train
./data_Image/Images/bus_0127-s.png,./data_Image/Mask/bus_0127-s.png,Train
./data_Image/Images/bus_0128-s.png,./data_Image/Mask/bus_0128-s.png,Train
./data_Image/Images/bus_0129-l.png,./data_Image/Mask/bus_0129-l.png,Test
./data_Image/Images/bus_0129-r.png,./data_Image/Mask/bus_0129-r.png,Train
./data_Image/Images/bus_0130-l.png,./data_Image/Mask/bus_0130-l.png,Train
./data_Image/Images/bus_0130-r.png,./data_Image/Mask/bus_0130-r.png,Test
./data_Image/Images/bus_0131-l.png,./data_Image/Mask/bus_0131-l.png,Train
./data_Image/Images/bus_0131-r.png,./data_Image/Mask/bus_0131-r.png,Train
./data_Image/Images/bus_0132-l.png,./data_Image/Mask/bus_0132-l.png,Test
./data_Image/Images/bus_0132-r.png,./data_Image/Mask/bus_0132-r.png,Test
./data_Image/Images/bus_0133-l.png,./data_Image/Mask/bus_0133-l.png,Train
./data_Image/Images/bus_0133-r.png,./data_Image/Mask/bus_0133-r.png,Train
./data_Image/Images/bus_0134-l.png,./data_Image/Mask/bus_0134-l.png,Train
./data_Image/Images/bus_0134-r.png,./data_Image/Mask/bus_0134-r.png,Train
./data_Image/Images/bus_0135-l.png,./data_Image/Mask/bus_0135-l.png,Train
./data_Image/Images/bus_0135-r.png,./data_Image/Mask/bus_0135-r.png,Train
./data_Image/Images/bus_0136-l.png,./data_Image/Mask/bus_0136-l.png,Train
./data_Image/Images/bus_0136-r.png,./data_Image/Mask/bus_0136-r.png,Train
./data_Image/Images/bus_0137-l.png,./data_Image/Mask/bus_0137-l.png,Train
./data_Image/Images/bus_0137-r.png,./data_Image/Mask/bus_0137-r.png,Train
./data_Image/Images/bus_0138-s.png,./data_Image/Mask/bus_0138-s.png,Validation
./data_Image/Images/bus_0139-l.png,./data_Image/Mask/bus_0139-l.png,Train
./data_Image/Images/bus_0139-r.png,./data_Image/Mask/bus_0139-r.png,Train
./data_Image/Images/bus_0140-l.png,./data_Image/Mask/bus_0140-l.png,Train
./data_Image/Images/bus_0140-r.png,./data_Image/Mask/bus_0140-r.png,Train
./data_Image/Images/bus_0141-l.png,./data_Image/Mask/bus_0141-l.png,Train
./data_Image/Images/bus_0141-r.png,./data_Image/Mask/bus_0141-r.png,Train
./data_Image/Images/bus_0142-l.png,./data_Image/Mask/bus_0142-l.png,Test
./data_Image/Images/bus_0142-r.png,./data_Image/Mask/bus_0142-r.png,Test
./data_Image/Images/bus_0143-l.png,./data_Image/Mask/bus_0143-l.png,Train
./data_Image/Images/bus_0143-r.png,./data_Image/Mask/bus_0143-r.png,Train
./data_Image/Images/bus_0144-l.png,./data_Image/Mask/bus_0144-l.png,Train
./data_Image/Images/bus_0144-r.png,./data_Image/Mask/bus_0144-r.png,Validation
./data_Image/Images/bus_0145-l.png,./data_Image/Mask/bus_0145-l.png,Validation
./data_Image/Images/bus_0145-r.png,./data_Image/Mask/bus_0145-r.png,Train
./data_Image/Images/bus_0146-l.png,./data_Image/Mask/bus_0146-l.png,Test
./data_Image/Images/bus_0146-r.png,./data_Image/Mask/bus_0146-r.png,Train
./data_Image/Images/bus_0147-l.png,./data_Image/Mask/bus_0147-l.png,Train
./data_Image/Images/bus_0147-r.png,./data_Image/Mask/bus_0147-r.png,Test
./data_Image/Images/bus_0148-l.png,./data_Image/Mask/bus_0148-l.png,Train
./data_Image/Images/bus_0148-r.png,./data_Image/Mask/bus_0148-r.png,Validation
./data_Image/Images/bus_0149-l.png,./data_Image/Mask/bus_0149-l.png,Train
./data_Image/Images/bus_0149-r.png,./data_Image/Mask/bus_0149-r.png,Validation
./data_Image/Images/bus_0150-l.png,./data_Image/Mask/bus_0150-l.png,Test
./data_Image/Images/bus_0150-r.png,./data_Image/Mask/bus_0150-r.png,Train
./data_Image/Images/bus_0151-l.png,./data_Image/Mask/bus_0151-l.png,Train
./data_Image/Images/bus_0151-r.png,./data_Image/Mask/bus_0151-r.png,Train
./data_Image/Images/bus_0152-l.png,./data_Image/Mask/bus_0152-l.png,Train
./data_Image/Images/bus_0152-r.png,./data_Image/Mask/bus_0152-r.png,Train
./data_Image/Images/bus_0153-l.png,./data_Image/Mask/bus_0153-l.png,Train
./data_Image/Images/bus_0153-r.png,./data_Image/Mask/bus_0153-r.png,Validation
./data_Image/Images/bus_0154-l.png,./data_Image/Mask/bus_0154-l.png,Train
./data_Image/Images/bus_0154-r.png,./data_Image/Mask/bus_0154-r.png,Train
./data_Image/Images/bus_0155-l.png,./data_Image/Mask/bus_0155-l.png,Train
./data_Image/Images/bus_0155-r.png,./data_Image/Mask/bus_0155-r.png,Test
./data_Image/Images/bus_0156-l.png,./data_Image/Mask/bus_0156-l.png,Test
./data_Image/Images/bus_0156-r.png,./data_Image/Mask/bus_0156-r.png,Train
./data_Image/Images/bus_0157-l.png,./data_Image/Mask/bus_0157-l.png,Train
./data_Image/Images/bus_0157-r.png,./data_Image/Mask/bus_0157-r.png,Validation
./data_Image/Images/bus_0158-l.png,./data_Image/Mask/bus_0158-l.png,Train
./data_Image/Images/bus_0158-r.png,./data_Image/Mask/bus_0158-r.png,Train
./data_Image/Images/bus_0159-l.png,./data_Image/Mask/bus_0159-l.png,Train
./data_Image/Images/bus_0159-r.png,./data_Image/Mask/bus_0159-r.png,Train
./data_Image/Images/bus_0160-l.png,./data_Image/Mask/bus_0160-l.png,Train
./data_Image/Images/bus_0160-r.png,./data_Image/Mask/bus_0160-r.png,Train
./data_Image/Images/bus_0161-l.png,./data_Image/Mask/bus_0161-l.png,Train
./data_Image/Images/bus_0161-r.png,./data_Image/Mask/bus_0161-r.png,Train
./data_Image/Images/bus_0162-l.png,./data_Image/Mask/bus_0162-l.png,Train
./data_Image/Images/bus_0162-r.png,./data_Image/Mask/bus_0162-r.png,Train
./data_Image/Images/bus_0163-l.png,./data_Image/Mask/bus_0163-l.png,Train
./data_Image/Images/bus_0163-r.png,./data_Image/Mask/bus_0163-r.png,Validation
./data_Image/Images/bus_0164-l.png,./data_Image/Mask/bus_0164-l.png,Validation
./data_Image/Images/bus_0164-r.png,./data_Image/Mask/bus_0164-r.png,Train
./data_Image/Images/bus_0165-l.png,./data_Image/Mask/bus_0165-l.png,Train
./data_Image/Images/bus_0165-r.png,./data_Image/Mask/bus_0165-r.png,Train
./data_Image/Images/bus_0166-l.png,./data_Image/Mask/bus_0166-l.png,Train
./data_Image/Images/bus_0166-r.png,./data_Image/Mask/bus_0166-r.png,Test
./data_Image/Images/bus_0167-l.png,./data_Image/Mask/bus_0167-l.png,Train
./data_Image/Images/bus_0167-r.png,./data_Image/Mask/bus_0167-r.png,Validation
./data_Image/Images/bus_0168-l.png,./data_Image/Mask/bus_0168-l.png,Train
./data_Image/Images/bus_0168-r.png,./data_Image/Mask/bus_0168-r.png,Train
./data_Image/Images/bus_0169-l.png,./data_Image/Mask/bus_0169-l.png,Train
./data_Image/Images/bus_0169-r.png,./data_Image/Mask/bus_0169-r.png,Train
./data_Image/Images/bus_0170-l.png,./data_Image/Mask/bus_0170-l.png,Train
./data_Image/Images/bus_0170-r.png,./data_Image/Mask/bus_0170-r.png,Train
./data_Image/Images/bus_0171-l.png,./data_Image/Mask/bus_0171-l.png,Test
./data_Image/Images/bus_0171-r.png,./data_Image/Mask/bus_0171-r.png,Train
./data_Image/Images/bus_0172-l.png,./data_Image/Mask/bus_0172-l.png,Train
./data_Image/Images/bus_0172-r.png,./data_Image/Mask/bus_0172-r.png,Train
./data_Image/Images/bus_0173-l.png,./data_Image/Mask/bus_0173-l.png,Train
./data_Image/Images/bus_0173-r.png,./data_Image/Mask/bus_0173-r.png,Test
./data_Image/Images/bus_0174-l.png,./data_Image/Mask/bus_0174-l.png,Train
./data_Image/Images/bus_0174-r.png,./data_Image/Mask/bus_0174-r.png,Test
./data_Image/Images/bus_0175-l.png,./data_Image/Mask/bus_0175-l.png,Test
./data_Image/Images/bus_0175-r.png,./data_Image/Mask/bus_0175-r.png,Test
./data_Image/Images/bus_0176-l.png,./data_Image/Mask/bus_0176-l.png,Train
./data_Image/Images/bus_0176-r.png,./data_Image/Mask/bus_0176-r.png,Validation
./data_Image/Images/bus_0177-l.png,./data_Image/Mask/bus_0177-l.png,Test
./data_Image/Images/bus_0177-r.png,./data_Image/Mask/bus_0177-r.png,Train
./data_Image/Images/bus_0178-l.png,./data_Image/Mask/bus_0178-l.png,Train
./data_Image/Images/bus_0178-r.png,./data_Image/Mask/bus_0178-r.png,Train
./data_Image/Images/bus_0179-l.png,./data_Image/Mask/bus_0179-l.png,Test
./data_Image/Images/bus_0179-r.png,./data_Image/Mask/bus_0179-r.png,Train
./data_Image/Images/bus_0180-l.png,./data_Image/Mask/bus_0180-l.png,Validation
./data_Image/Images/bus_0180-r.png,./data_Image/Mask/bus_0180-r.png,Validation
./data_Image/Images/bus_0181-s.png,./data_Image/Mask/bus_0181-s.png,Test
./data_Image/Images/bus_0182-l.png,./data_Image/Mask/bus_0182-l.png,Train
./data_Image/Images/bus_0182-r.png,./data_Image/Mask/bus_0182-r.png,Train
./data_Image/Images/bus_0183-l.png,./data_Image/Mask/bus_0183-l.png,Train
./data_Image/Images/bus_0183-r.png,./data_Image/Mask/bus_0183-r.png,Train
./data_Image/Images/bus_0184-l.png,./data_Image/Mask/bus_0184-l.png,Train
./data_Image/Images/bus_0184-r.png,./data_Image/Mask/bus_0184-r.png,Train
./data_Image/Images/bus_0185-l.png,./data_Image/Mask/bus_0185-l.png,Train
